序號,縣市,鄉鎮市區,測站名稱,測站地址,空品區,經度,緯度,影像連結
1,臺北市,北投區,士林,臺北市北投區文林北路１５５號,北部空品區,121.5145,25.105917,[URL]/ATM/AQX_P_01/011-201811121330.jpg
2,臺北市,萬華區,萬華,臺北市萬華區中華路一段６６號,北部空品區,121.507972,25.046503,[URL]/ATM/AQX_P_01/013-201811121330.jpg
3,臺北市,大同區,大同,臺北市大同區重慶北路三段２號,北部空品區,121.513311,25.0632,
4,臺北市,中山區,中山,臺北市中山區林森北路５１１號,北部空品區,121.526528,25.062361,
5,臺北市,大安區,古亭,臺北市大安區羅斯福路三段２０１號,北部空品區,121.529556,25.020608,
6,臺北市,松山區,松山,臺北市松山區八德路四段７４６號,北部空品區,121.578611,25.05,
7,臺北市,北投區,陽明,臺北市北投區竹子湖路１１１號,北部空品區,121.529583,25.182722,[URL]/ATM/AQX_P_01/064-201811121340.jpg
8,新北市,土城區,土城,新北市土城區學府路一段２４１號,北部空品區,121.451861,24.982528,
9,新北市,林口區,林口,新北市林口區文化北路一段４２５號,北部空品區,121.365703,25.07857,[URL]/ATM/AQX_P_01/009-201811121330.jpg
10,新北市,石門區,富貴角,新北市石門區富貴角海邊,北部空品區,121.537975,25.297436,[URL]/ATM/AQX_P_01/084-201811121340.jpg
11,新北市,萬里區,萬里,新北市萬里區瑪鋉路２２１號,北部空品區,121.689881,25.179667,[URL]/ATM/AQX_P_01/003-201811121340.jpg
12,新北市,汐止區,汐止,新北市汐止區樟樹一路１３７巷２６號,北部空品區,121.6408,25.065669,[URL]/ATM/AQX_P_01/002-201811121340.jpg
13,新北市,淡水區,淡水,新北市淡水區中正東路４２巷６號,北部空品區,121.449239,25.1645,
14,新北市,新店區,新店,新北市新店區民族路１０８號,北部空品區,121.537778,24.977222,[URL]/ATM/AQX_P_01/004-201811121340.jpg
15,新北市,新莊區,新莊,新北市新莊區中正路５１０號,北部空品區,121.4325,25.037972,[URL]/ATM/AQX_P_01/007-201811121340.jpg
16,新北市,永和區,永和,新北市永和區永和路與光復路交口,北部空品區,121.516306,25.017,[URL]/ATM/AQX_P_01/070-201811121330.jpg
17,新北市,三重區,菜寮,新北市三重區中正北路１６３號,北部空品區,121.481028,25.06895,
18,新北市,板橋區,板橋,新北市板橋區文化路一段２５號,北部空品區,121.458667,25.012972,
19,新北市,三重區,三重,新北市三重區三和路與重陽路交口,北部空品區,121.493806,25.072611,
20,臺中市,西屯區,西屯,臺中市西屯區安和路１號,中部空品區,120.616917,24.162197,[URL]/ATM/AQX_P_01/032-201811121340.jpg
21,臺中市,南屯區,忠明,臺中市南屯區公益路二段２９６號,中部空品區,120.641092,24.151958,[URL]/ATM/AQX_P_01/031-201811121330.jpg
22,臺中市,豐原區,豐原,臺中市豐原區水源路１５０號,中部空品區,120.741711,24.256586,[URL]/ATM/AQX_P_01/028-201811121340.jpg
23,臺中市,沙鹿區,沙鹿,臺中市沙鹿區英才路１５０號,中部空品區,120.568794,24.225628,[URL]/ATM/AQX_P_01/029-201811121340.jpg
24,臺中市,大里區,大里,臺中市大里區大新街３６號,中部空品區,120.677689,24.099611,
25,臺南市,新營區,新營,臺南市新營區中正路４號,雲嘉南空品區,120.31725,23.305633,[URL]/ATM/AQX_P_01/043-201811121340.jpg
26,臺南市,善化區,善化,臺南市善化區益民寮６０號,雲嘉南空品區,120.297142,23.115097,[URL]/ATM/AQX_P_01/044-201811121340.jpg
27,臺南市,安南區,安南,臺南市安南區安和路三段１９３號,雲嘉南空品區,120.218333,23.048333,[URL]/ATM/AQX_P_01/045-201811121330.jpg
28,臺南市,中西區,臺南,臺南市中西區南寧街４５號,雲嘉南空品區,120.202617,22.984581,
29,高雄市,左營區,左營,高雄市左營區翠華路６８７號,高屏空品區,120.292917,22.674861,
30,高雄市,楠梓區,楠梓,高雄市楠梓區楠梓路２６２號,高屏空品區,120.328289,22.733667,
31,高雄市,前金區,前金,高雄市前金區河南二路１９６號,高屏空品區,120.288086,22.632567,
32,高雄市,前鎮區,前鎮,高雄市前鎮區中山三路４３號,高屏空品區,120.307564,22.605386,[URL]/ATM/AQX_P_01/057-201811121340.jpg
33,高雄市,前鎮區,復興,高雄市前鎮區民權二路３３１號,高屏空品區,120.312017,22.608711,
34,高雄市,小港區,小港,高雄市小港區平和南路１８５號,高屏空品區,120.337736,22.565833,[URL]/ATM/AQX_P_01/058-201811121340.jpg
35,高雄市,鳳山區,鳳山,高雄市鳳山區曹公路６號,高屏空品區,120.358083,22.627392,[URL]/ATM/AQX_P_01/050-201811121330.jpg
36,高雄市,林園區,林園,高雄市林園區北汕路５８巷２號,高屏空品區,120.41175,22.4795,[URL]/ATM/AQX_P_01/052-201811121330.jpg
37,高雄市,大寮區,大寮,高雄市大寮區潮寮路６１號,高屏空品區,120.425311,22.564136,[URL]/ATM/AQX_P_01/051-201811081830.jpg
38,高雄市,仁武區,仁武,高雄市仁武區永仁街５５５號,高屏空品區,120.332631,22.689056,[URL]/ATM/AQX_P_01/049-201811121330.jpg
39,高雄市,橋頭區,橋頭,高雄市橋頭區隆豐北路１號,高屏空品區,120.305689,22.757506,[URL]/ATM/AQX_P_01/048-201811121340.jpg
40,高雄市,美濃區,美濃,高雄市美濃區忠孝路１９號,高屏空品區,120.530542,22.883583,[URL]/ATM/AQX_P_01/047-201811121340.jpg
41,基隆市,信義區,基隆,基隆市信義區東信路３２４號,北部空品區,121.760056,25.129167,[URL]/ATM/AQX_P_01/001-201811121340.jpg
42,新竹市,東區,新竹,新竹市東區民族路３３號,竹苗空品區,120.972075,24.805619,
43,嘉義市,西區,嘉義,嘉義市西區新民路５８０號,雲嘉南空品區,120.440833,23.462778,[URL]/ATM/AQX_P_01/042-201811121330.jpg
44,宜蘭縣,冬山鄉,冬山,宜蘭縣冬山鄉照安路２６號,宜蘭空品區,121.792928,24.632203,[URL]/ATM/AQX_P_01/066-201811121340.jpg
45,宜蘭縣,宜蘭市,宜蘭,宜蘭縣宜蘭市復興路二段７７號,宜蘭空品區,121.746394,24.747917,[URL]/ATM/AQX_P_01/065-201809151330.jpg
46,桃園市,桃園區,桃園,桃園市桃園區莒光街１５號,北部空品區,121.304417,24.995667,[URL]/ATM/AQX_P_01/017-201811121340.jpg
47,桃園市,大園區,大園,桃園市大園區中正東路１６０號,北部空品區,121.201811,25.060344,[URL]/ATM/AQX_P_01/018-201811121340.jpg
48,桃園市,觀音區,觀音,桃園市觀音區文化路２號,北部空品區,121.082761,25.035503,[URL]/ATM/AQX_P_01/019-201811121330.jpg
49,桃園市,龍潭區,龍潭,桃園市龍潭區中正路２１０號,北部空品區,121.21635,24.863869,
50,桃園市,中壢區,中壢,桃園市中壢區延平路６２２號,北部空品區,121.221667,24.953278,[URL]/ATM/AQX_P_01/068-201811121340.jpg
51,桃園市,平鎮區,平鎮,桃園市平鎮區復興街５５號,北部空品區,121.204981,24.954208,
52,新竹縣,竹東鎮,竹東,新竹縣竹東鎮榮樂里三民街７０號,竹苗空品區,121.088903,24.740644,
53,新竹縣,湖口鄉,湖口,新竹縣湖口鄉成功路３６０號,竹苗空品區,121.038653,24.900142,
54,苗栗縣,三義鄉,三義,苗栗縣三義鄉西湖村上湖６１-１號,竹苗空品區,120.758833,24.382942,[URL]/ATM/AQX_P_01/027-201811121330.jpg
55,苗栗縣,苗栗市,苗栗,苗栗縣苗栗市縣府路１００號,竹苗空品區,120.8202,24.565269,
56,苗栗縣,頭份市,頭份,苗栗縣頭份市文化街２０號,竹苗空品區,120.898572,24.696969,
57,彰化縣,線西鄉,線西,彰化縣線西鄉中央路二段１４５號,中部空品區,120.469061,24.131672,[URL]/ATM/AQX_P_01/034-201811121340.jpg
58,彰化縣,彰化市,彰化,彰化縣彰化市文心街５５號,中部空品區,120.541519,24.066,
59,彰化縣,二林鎮,二林,彰化縣二林鎮江山巷１號,中部空品區,120.409653,23.925175,[URL]/ATM/AQX_P_01/035-201811121340.jpg
60,南投縣,埔里鎮,埔里,南投縣埔里鎮西安路一段１９３號,中部空品區,120.967903,23.968842,[URL]/ATM/AQX_P_01/072-201811121340.jpg
61,南投縣,南投市,南投,南投縣南投市南陽路２６９號,中部空品區,120.685306,23.913,[URL]/ATM/AQX_P_01/036-201811121330.jpg
62,南投縣,竹山鎮,竹山,南投縣竹山鎮大明路６６６號,中部空品區,120.677306,23.756389,[URL]/ATM/AQX_P_01/069-201811121330.jpg
63,雲林縣,麥寮鄉,麥寮,雲林縣麥寮鄉中興路１１５號,雲嘉南空品區,120.251825,23.753506,[URL]/ATM/AQX_P_01/083-201811121330.jpg
64,雲林縣,臺西鄉,臺西,雲林縣臺西鄉五港路５０５號,雲嘉南空品區,120.202842,23.717533,[URL]/ATM/AQX_P_01/041-201811121330.jpg
65,雲林縣,崙背鄉,崙背,雲林縣崙背鄉大成路９１號,雲嘉南空品區,120.348742,23.757547,[URL]/ATM/AQX_P_01/203-201811121410.jpg
66,雲林縣,斗六市,斗六,雲林縣斗六市民生路２２４號,雲嘉南空品區,120.544994,23.711853,[URL]/ATM/AQX_P_01/037-201811121340.jpg
67,嘉義縣,新港鄉,新港,嘉義縣新港鄉登雲路１０５號,雲嘉南空品區,120.345531,23.554839,[URL]/ATM/AQX_P_01/039-201811121340.jpg
68,嘉義縣,朴子市,朴子,嘉義縣朴子市光復路３４號,雲嘉南空品區,120.24735,23.465308,[URL]/ATM/AQX_P_01/040-201811121330.jpg
69,屏東縣,恆春鎮,恆春,屏東縣恆春鎮公園路４４號,高屏空品區,120.788928,21.958069,[URL]/ATM/AQX_P_01/061-201811121340.jpg
70,屏東縣,屏東市,屏東,屏東縣屏東市蘇州街７５號,高屏空品區,120.488033,22.673081,
71,屏東縣,潮州鎮,潮州,屏東縣潮州鎮復興路６６號,高屏空品區,120.561175,22.523108,[URL]/ATM/AQX_P_01/060-201811121330.jpg
72,臺東縣,臺東市,臺東,臺東縣臺東市中山路２７６號,花東空品區,121.15045,22.755358,[URL]/ATM/AQX_P_01/062-201811121340.jpg
73,臺東縣,關山鎮,關山,臺東縣關山鎮自強路６６號,花東空品區,121.161933,23.045083,[URL]/ATM/AQX_P_01/080-201811121330.jpg
74,花蓮縣,花蓮市,花蓮,花蓮縣花蓮市中正路２１０號,花東空品區,121.599769,23.971306,[URL]/ATM/AQX_P_01/063-201811121330.jpg
75,澎湖縣,馬公市,馬公,澎湖縣馬公市中正路１１５號,其他,119.566158,23.569031,[URL]/ATM/AQX_P_01/078-201811121330.jpg
76,金門縣,金城鎮,金門,金門縣金城鎮民權路３２號,其他,118.312256,24.432133,[URL]/ATM/AQX_P_01/077-201811121330.jpg
77,連江縣,南竿鄉,馬祖,連江縣南竿鄉介壽村１５６-１０號,其他,119.9525,26.153611,[URL]/ATM/AQX_P_01/075-201811121330.jpg
,,,,,,,,
,,,,,,,,
